month,bucket,panel,up,down,hiring_diffusion,open_roles,mfg_roles,sw_roles,senior_roles,sufficient
2026-04,Autonomy & Robotics,10,8,1,85.0,617,136,162,4,False
2026-04,Chips & Quantum,4,3,1,75.0,277,30,59,4,False
2026-04,Defence,5,4,0,90.0,251,64,59,0,False
2026-04,Manufacturing & Materials,5,1,4,20.0,132,35,19,0,False
2026-04,Nuclear,7,4,3,57.1,222,56,19,1,False
2026-04,Power & Grid,4,1,2,37.5,21,4,0,0,False
2026-04,Space & Aerospace,15,10,3,73.3,747,165,115,4,False
2026-05,Autonomy & Robotics,10,5,1,70.0,645,136,149,5,False
2026-05,Chips & Quantum,4,2,0,75.0,292,35,57,3,False
2026-05,Defence,6,3,1,66.7,297,73,61,2,False
2026-05,Manufacturing & Materials,5,2,0,70.0,193,45,25,0,False
2026-05,Nuclear,7,1,2,42.9,220,64,19,3,False
2026-05,Power & Grid,3,2,0,83.3,34,8,3,0,False
2026-05,Space & Aerospace,15,7,2,66.7,818,178,123,2,False
2026-06,Autonomy & Robotics,10,7,3,70.0,752,162,160,5,False
2026-06,Chips & Quantum,5,2,0,70.0,311,31,56,3,False
2026-06,Defence,6,3,0,75.0,325,77,61,2,False
2026-06,Manufacturing & Materials,5,4,0,90.0,217,56,33,1,False
2026-06,Nuclear,7,3,0,71.4,232,73,24,2,False
2026-06,Power & Grid,3,1,2,33.3,30,5,3,0,False
2026-06,Space & Aerospace,15,4,10,30.0,757,179,112,2,False
2026-07,Autonomy & Robotics,10,2,5,35.0,694,170,141,5,False
2026-07,Chips & Quantum,5,2,2,50.0,317,33,55,3,False
2026-07,Defence,6,3,2,58.3,336,78,66,1,False
2026-07,Manufacturing & Materials,5,2,0,70.0,256,71,36,0,False
2026-07,Nuclear,7,4,1,71.4,282,78,30,2,False
2026-07,Power & Grid,3,1,0,66.7,31,5,2,0,False
2026-07,Space & Aerospace,16,10,3,71.9,814,213,119,4,False
2026-08,Autonomy & Robotics,10,4,1,65.0,801,193,153,5,False
2026-08,Chips & Quantum,5,2,2,50.0,312,29,54,6,False
2026-08,Defence,6,1,4,25.0,291,70,58,1,False
2026-08,Manufacturing & Materials,5,4,0,90.0,289,73,42,1,False
2026-08,Nuclear,7,3,2,57.1,354,86,51,3,False
2026-08,Power & Grid,3,0,2,16.7,25,7,1,0,False
2026-08,Space & Aerospace,16,10,3,71.9,926,244,131,8,False
2026-09,Autonomy & Robotics,10,7,2,75.0,827,199,160,6,False
2026-09,Chips & Quantum,5,1,3,30.0,294,30,46,2,False
2026-09,Defence,7,2,1,57.1,405,105,77,4,False
2026-09,Manufacturing & Materials,5,1,1,50.0,321,99,38,1,False
2026-09,Nuclear,7,4,0,78.6,386,87,55,4,False
2026-09,Power & Grid,3,2,0,83.3,28,9,1,0,False
2026-09,Space & Aerospace,16,7,4,59.4,1054,293,146,8,False
