axe_no,line_1_recipient,line_2_company,line_3_award,line_4_edition,notes
1,JIM COUTRE,AIRSHIP INDUSTRIES,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,1/30,Sole founder. Confirm Jim vs James.
2,BOBBY FIJAN,AMERICAN HOUSING CORPORATION,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,2/30,All 4 co-founders.
3,RILEY MEIK,AMERICAN HOUSING CORPORATION,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,2/30,All 4 co-founders.
4,HARRIS ROTHAERMEL,AMERICAN HOUSING CORPORATION,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,2/30,All 4 co-founders.
5,WILLIAM DAVIS,AMERICAN HOUSING CORPORATION,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,2/30,All 4 co-founders.
6,MATEJ CERNOSEK,ANDRENAM,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,3/30,Confirm styling: AndrenaM vs Andrenam.
7,ALEX CHU,ANDRENAM,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,3/30,Confirm styling: AndrenaM vs Andrenam.
8,JORDAN BRAMBLE,ANTARES,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,4/30,Julia DeWahl is co-founder — add if wanted.
9,IAN CINNAMON,APEX,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,5/30,CEO + CTO.
10,MAX BENASSI,APEX,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,5/30,CEO + CTO.
11,IAN BROOKE,ASTRO MECHANICA,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,6/30,Sole founder.
12,MATT GIALICH,ASTROFORGE,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,7/30,Jose Acain is co-founder — add if wanted.
13,BORIS SOFMAN,BEDROCK ROBOTICS,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,8/30,3 further co-founders — add if wanted.
14,ADAM WARMOTH,CHARIOT DEFENSE,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,9/30,Sole founder.
15,ALEKS GAMPEL,CUBY,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,10/30,Aleh Kandrashou is CEO — swap or add if wanted.
16,NATHAN MINTZ,CX2,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,11/30,"2 further co-founders on record (Trefgarne, Thompson)."
17,PORTER SMITH,CX2,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,11/30,"2 further co-founders on record (Trefgarne, Thompson)."
18,TED FELDMANN,DURIN,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,12/30,Sole founder.
19,MIKE SMAYDA,FORTASTRA,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,13/30,Smayda also co-founded Hermeus — he receives two axes.
20,CHANDLER LUZSICZA,GALADYNE,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,14/30,Sole founder.
21,AJ PIPLICA,HERMEUS,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,15/30,All 4 co-founders.
22,SKYLER SHUFORD,HERMEUS,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,15/30,All 4 co-founders.
23,GLENN CASE,HERMEUS,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,15/30,All 4 co-founders.
24,MIKE SMAYDA,HERMEUS,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,15/30,All 4 co-founders.
25,SOREN MONROE-ANDERSON,NEROS,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,16/30,HYPHEN in Monroe-Anderson — the sample axe omitted it.
26,OLAF HICHWA,NEROS,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,16/30,HYPHEN in Monroe-Anderson — the sample axe omitted it.
27,ALEX WILTSCHKO,OSMO,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,17/30,Sole founder.
28,ZANE MOUNTCASTLE,PICOGRID,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,18/30,2 further co-founders — add if wanted.
29,JAKE ADLER,PILGRIM,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,19/30,Sole founder.
30,DAVID ZAGAYNOV,POSEIDON,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,20/30,Parker Tenney is co-founder; Baumstark has departed.
31,CAMERON SCHILLER,RANGEVIEW,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,21/30,Aeden Gasser-Brennan is co-founder/CTO — add if wanted.
32,JORDAN BLACK,SENRA SYSTEMS,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,22/30,Ben Shanahan is co-founder — add if wanted.
33,TYLER NORWOOD,STANDARD ELECTRON,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,23/30,Alex Le Roux is co-founder — add if wanted.
34,CASEY HANDMER,TERRAFORM INDUSTRIES,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,24/30,Sole founder.
35,ELON MUSK,THE BORING COMPANY,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,25/30,Confirmed by Stephen.
36,AKHIL VOORAKKARA,ULYSSES,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,26/30,All 4 co-founders. The two O'Briens are unrelated.
37,WILL O'BRIEN,ULYSSES,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,26/30,All 4 co-founders. The two O'Briens are unrelated.
38,JAMIE WEDDERBURN,ULYSSES,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,26/30,All 4 co-founders. The two O'Briens are unrelated.
39,COLM O'BRIEN,ULYSSES,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,26/30,All 4 co-founders. The two O'Briens are unrelated.
40,ISAIAH TAYLOR,VALAR ATOMICS,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,27/30,Sole founder. No middle initial publicly.
41,WILL BRUEY,VARDA,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,28/30,CEO + co-founder.
42,DELIAN ASPAROUHOV,VARDA,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,28/30,CEO + co-founder.
43,JONATHAN CRISS,VITAL LYFE,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,29/30,CEO + COO.
44,ANDREW HARNER,VITAL LYFE,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,29/30,CEO + COO.
45,KELLER RINAUDO CLIFFTON,ZIPLINE,RATIONAL OPTIMIST SOCIETY INNOVATORS LEAGUE 2026,30/30,2 further co-founders — add if wanted. No hyphen.
